Dijkstra
type;size;density;time
M;10;25;0.01914
L;10;25;0.00548
M;10;50;0.03064
L;10;50;0.0054
M;10;75;0.04322
L;10;75;0.0093
M;10;99;0.04242
L;10;99;0.00702
M;25;25;0.84154
L;25;25;0.04586
M;25;50;1.44344
L;25;50;0.06328
M;25;75;1.79006
L;25;75;0.08834
M;25;99;1.98726
L;25;99;0.09646
M;75;25;67.6162
L;75;25;0.57254
M;75;50;130.462
L;75;50;1.03282
M;75;75;129.741
L;75;75;1.5239
M;75;99;145.527
L;75;99;2.03902
